"publication_id","publication_type"
3000,"National Statistics"
3001,"Management Information"
3002,"Experimental Statistics"
3003,"Data Under Development"
3004,"Non-official Statistics"
3005,"Official Statistics"
3006,"Other"
3007,"Other: A mix of National Statistics and Official Statistics."
3008,"Other: Collation of various types of statistics"
3009,"Other: Non Official Statistics"
